0	185.000000	
1	161.000000	
2	161.000000	
3	204.000000	
4	174.000000	
5	136.000000	
6	112.000000	
7	123.000000	
8	129.000000	
9	114.000000	
10	130.000000	
11	102.000000	
12	130.000000	
13	89.000000	
14	119.000000	
15	109.000000	
16	94.000000	
17	113.000000	
18	84.000000	
19	91.000000	
20	86.000000	
21	88.000000	
22	111.000000	
23	108.000000	
24	179.000000	
25	112.000000	
26	84.000000	
27	84.000000	
28	85.000000	
29	107.000000	
30	132.000000	
31	144.000000	
32	113.000000	
33	93.000000	
34	76.000000	
35	69.000000	
36	88.000000	
37	145.000000	
38	125.000000	
39	80.000000	
40	81.000000	
41	87.000000	
42	85.000000	
43	85.000000	
44	84.000000	
45	85.000000	
46	79.000000	
47	79.000000	
48	87.000000	
49	116.000000	
