0	212.000000	
1	159.000000	
2	183.000000	
3	136.000000	
4	152.000000	
5	143.000000	
6	165.000000	
7	175.000000	
8	150.000000	
9	114.000000	
10	103.000000	
11	108.000000	
12	117.000000	
13	102.000000	
14	94.000000	
15	113.000000	
16	115.000000	
17	112.000000	
18	99.000000	
19	111.000000	
20	118.000000	
21	85.000000	
22	107.000000	
23	102.000000	
24	117.000000	
25	103.000000	
26	104.000000	
27	113.000000	
28	109.000000	
29	153.000000	
30	106.000000	
31	114.000000	
32	97.000000	
33	109.000000	
34	129.000000	
35	138.000000	
36	152.000000	
37	114.000000	
38	117.000000	
39	124.000000	
40	98.000000	
41	209.000000	
42	338.000000	
43	133.000000	
44	140.000000	
45	189.000000	
46	122.000000	
47	111.000000	
48	124.000000	
49	93.000000	
